"","id1","id2","distance","pair_id"
"1",0,1,435,"0_1"
"2",1,2,1303,"1_2"
"3",2,3,1044,"2_3"
"4",3,4,582,"3_4"
"5",4,5,2325,"4_5"
"6",5,6,3770,"5_6"
"7",6,7,0,"6_7"
"8",7,8,2072,"7_8"
"9",8,9,755,"8_9"
"10",9,10,484,"9_10"
"11",10,11,4638,"10_11"
"12",11,12,0,"11_12"
"13",12,13,2288,"12_13"
"14",13,14,0,"13_14"
"15",14,15,290,"14_15"
"16",15,16,2641,"15_16"
"17",16,17,1,"16_17"
"18",17,18,1880,"17_18"
"19",18,19,491,"18_19"
"20",19,20,1092,"19_20"
"21",20,21,5488,"20_21"
"22",21,22,924,"21_22"
"23",22,23,2775,"22_23"
"24",23,24,3491,"23_24"
"25",24,25,139,"24_25"
"26",25,26,5870,"25_26"
"27",26,27,2170,"26_27"
"28",27,28,1156,"27_28"
"29",28,29,10839,"28_29"
"30",29,30,16,"29_30"
"31",30,31,2664,"30_31"
"32",31,32,880,"31_32"
"33",32,33,4865,"32_33"
"34",33,34,11778,"33_34"
"35",34,35,1065,"34_35"
"36",35,36,2143,"35_36"
"37",36,37,0,"36_37"
"38",37,40,1280,"37_40"
